"","title","body"
"1","[순간포착]국회 찾은 중국 대사","1) #국회 찾은 중국대사 싱하이밍 주한 중국대사가 국회를 찾았습니다. 문희상 국회의장이 뭔가를 전달합니다. 빨간 서류철에 담긴 건 바로 문 의장이 시진핑 중국 국가..."
"2","[영상] 엄마들이 국회의원에게 묻습니다","지난해 12월 '민식이법'과 '하준이법'이 가까스로 통과됐지만 엄마들은 다시 국회로 올 수밖에 없었습니다. 두 달만에 어렵사리 열리게 된 2월 임시국회, 20대국회에서 아직..."
"3","국회, 감염병 법안 '뒷북 발의'","법안을 발의하고 나섰다. 다만 4·15 총선을 불과 2개월여 앞두고 20대 국회의 마지막인 2월 임시국회가 제대로 운영될지 불투명한 가운데 법안만 무더기로 쏟아져 나오고..."
"4","4.15총선, '기후국회'를 만들자","평화당, 우리공화당도 답변을 거부하여, 자유한국당과 함께 F 등급을 받았다. 이들이 국회를 기후침묵에 가두고 긴급한 기후행동을 외면하고 있다. 매 국회마다 최악의 정치..."
"5","[TF이슈] 헌재에도 등장한 직권남용..'국회 사보임' 논란","재판소 대심판정에서 진행됐다. 사진은 지난해 4월 오 의원이 서울 여의도 국회에서 열린 국회 사법개혁특별위원회 전체회의에서 발언권을 요청하는 모습. /배정한 기자..."
"6","中 대사 ""위기 극복하면 관계 폭발적 발전""..국회 대책은?","[앵커] 국회를 찾은 싱하이밍 주한 중국대사는 우리 정부와 국민에 감사를 표하면서 코로나 사태를 극복하면 한중 관계가 폭발적으로 발전할 것이라고 말했습니다. 정작..."
"7","""돈만 먹고 일 안 하는 '꼰대 국회'에게 고합니다""","올라가는 학생들이 13일 오후 2시 울산시의회 프레스센터에서 기자회견을 열고, 국회의원들에게 쓴소리를 했다. '청소년 유권자 국민의 국회'를 선언하면서 직접정치 확대를..."
"8","이용호, '공공의대법' 국회 통과 촉구 피켓 시위","[최인 기자( =전주)] 13일 국회 본관 내 자유한국당 최고위원회 회의장과 의원총회 회의장 앞에서, ‘공공의대법’ 2월 국회 통과를 촉구하는 피켓 시위를 벌이고 있는..."
"9","머니게임 고수, 토빈세 통과 위해 뺨때린 국회의원에 무릎 꿇었다","[뉴스엔 이보라 기자] 고수가 한국형 토빈세 법안 통과를 위해 자신의 뺨을 때린 국회의원에게 무릎을 꿇었다. 2월 13일 방송한 tvN 수목드라마 '머니게임'(극본 이영미..."
"10","문희상, 2월 국회 ""초당적 자세로 '일하는 국회' 만들자""","문희상 국회의장. /사진=뉴스1. 문희상 국회의장이 오는 17일 열리는 2월 임시국회와 관련한 친전서한을 국회의원 전원에게 보냈다. 문 국회의장은 ""초당적 자세로 입법부..."
"11","현안밀착 '코로나 법안' 눈길.. 20대 국회 처리 여부는 글쎄","[쿠키뉴스] 김양균 기자 = 코로나19가 국내는 물론 전 세계에서 확산 일로에 있자, 국회에서는 속속 관련 법률안이 발의되고 있다. 그 중 일부 법안을 살펴보자. 우선..."
"12","이삼걸 예비후보 국회 행안위에 성명서 발표 제21대 국회의원 선...","더불어민주당 이삼걸(64세, 전행정안전부 차관)국회의원 예비후보는 13일 더불어민주당 중앙당과 더불어민주당 이인영 원내대표 그리고 국회행정안전위원회를 방문해 지역..."
"13","이해찬 ""국회부의장 지낸 분도 최고위원도 예외없이 경선""","이해찬 더불어민주당 대표가 12일 서울 여의도 국회 당대표회의실에서 열린 최고위원회 회의에서 모두발언하고 있다. 2020.2.12/뉴스1 ⓒ News1 이승배 기자 (서울=뉴스1..."
"14","울산 청소년 유권자 ""청소년 직접정치 확대 촉구""..'국민의 국회'...","첫 투표를 하게 될 청소년 유권자들이 13일 오후 울산시의회 프레스센터에서 국민의국회 선언 기자회견을 하고 있다. 2020.2.13/뉴스1 ⓒ News1 윤일지 기자 (울산=뉴스1..."
"15","문희상 국회의장 ""국가란 무엇인가 증명해야, 2월 국회 마지막까...","문희상 국회의장이 6일 국회 사랑재에서 열린 중소기업중앙회 임원단 초청 오찬 간담회에서 신종 코로나바이러스 예방의 일환으로 참석자들과 주먹 인사를 하고 있다. 연합..."
"16","국회 찾은 中대사 ""韓 코로나 피해 지원.. 대단히 '감동'""","문희상 국회의장이 13일 서울 여의도 국회를 찾은 싱하이밍 주한중국대사(왼쪽)와 인사를 나눈 후 자리로 향하고 있다. /사진=뉴스1. 싱하이밍 주한 중국대사가 국회를 찾아..."
"17","허청회 전 국회 보좌관, 포천·가평 국회의원 예비후보 등록","[포천=뉴스핌] 양상현 기자 = 12년간 국회의원 보좌관을 지낸 허청회(50)씨가 자유한국당 총선 경쟁에 뛰어 들었다. 허 전 보좌관은 13일 오후 포천·가평 지역구 제21..."
"18","김성주 예비후보, 탄소소재법 개정안 국회통과 요청","기자 (전북=뉴스1) 김동규 기자 = 김성주 더불어민주당 전북 전주병 예비후보가 13일 국회에서 이인영 민주당 원내대표와 송기헌 법제사법위원회 간사를 만나 탄소소재법..."
"19","정치권, 선거구 획정 문제 3월 5일 국회 본회의서 마무리짓기로","국회 행안위 민주당 간사인 홍익표 의원(왼쪽)과 한국당 간사인 이채익 의원(오른쪽두번째)이 13일 오전 서울 여의도 국회에서 국회의원 선거구 획정 논의를 위한 간사회동..."
"20","국회 찾은 주한 중국대사 [포토뉴스]","[경향신문] 싱하이밍 주한 중국대사(가운데)가 13일 국회에서 문희상 국회의장(오른쪽), 더불어민주당 이인영 원내대표(왼쪽)와 인사하고 있다. 김영민 기자 viola..."
"21","'靑바라기' 국민청원.. 국회, 'n번방' 기회 잡을까","①문턱 낮춘 '국회청원'…'n번방' 딛고 '청와대청원' 만큼 될까 지난 10일 통과된 '텔레그램에서 발생하는 디지털성범죄 해결에 관한 청원' 페이지. /사진=국회 국민동의..."
"22","국회도서관 간부, 부산시민도서관 방문","[사진=국회도서관 방문단 시민도서관 방문 사진, 부산시민 도서관] [키즈TV뉴스 황해운 기자] 부산시립시민도서관, 지난 13일 현진권 국회도서관 관장을 비롯 이신재 의회..."
"23","정우택 국회의원, 한국당 전국위원회 의장 선출","한국당 정우택 국회의원. ⓒ 뉴스1 (청주=뉴스1) 이정현 기자 = 자유한국당 정우택 국회의원(청주 상당)이 13일 한국당 전국위원회 의장에 선출됐다. 한국당은 13일 오전..."
